Category,Style,Name,Manufacturer,Cost ($),Cost Adapter ($),(A) Shaft Diameter [mm],(B) Length [mm],(C) Can Diameter [mm],(D) Can Length [mm],(E) Total Length [mm],Adapter Length [mm],Adapter Diameter [mm],Weight [grams],Rotational Moment of Inertia [g*mm^2],Shaft,Case top,Case,KV [RPM/V],KT [Nm/A],KM [Nm/sqrt(W)],Max Current [A],Max Power [W],Peak Current [A],Peak Power [W],Internal Resistance [mOhm],Io Idle Current@10V [A],Poles,ESC PWM Rate Min [kHz],ESC PWM Rate Max [kHz],ESC Rate [Hz],Motor Timing Min [deg.],Motor Timing Max [deg.],Min # of Cells,Max # of Cells,Prop Size Rec. [in],Prop Pitch Rec. [in],ESC/BEC Class,Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Motor,D,Antigravity MN5006 KV450,T-Motor,84.99,0,4,25,55.6,6,30,26,6,106,8326.437745,2.058371507,8324.249117,0.130256322,450,0.021220659,0.086632978,26,650,,,60,0.9,24S28P,,,,,,4,6,"14,18","4,12",2,Antigravity MN5006 KV450.jpg,https://store.tmotor.com/goods.php?id=997,para_motor.prt,,Antigravity MN5006.jpg,
Motor,D,Antigravity MN5008 KV170,T-Motor,89.99,0,4,27,55.6,8,32,26,6,128,8326.618388,2.195596274,8324.249117,0.173675096,170,0.056172333,0.108103705,15,720,,,270,0.4,24S28P,,,,,,6,12,"16,20","4,12",2,Antigravity MN5008 KV170.jpg,https://store.tmotor.com/goods.php?id=998 ,para_motor.prt,,Antigravity MN5008.jpg,
Motor,D,Antigravity MN5008 KV340,T-Motor,89.99,0,4,27,55.6,8,32,26,6,135,8326.618388,2.195596274,8324.249117,0.173675096,340,0.028086166,0.119759816,35,760,,,55,0.9,24S28P,,,,,,6,12,"16,20","4,10",2,Antigravity MN5008 KV170.jpg,https://store.tmotor.com/goods.php?id=999,para_motor.prt,,Antigravity MN5008.jpg,
Motor,D,Antigravity MN5008 KV400,T-Motor,89.99,0,4,27,55.6,8,32,26,6,132,8326.618388,2.195596274,8324.249117,0.173675096,400,0.023873241,0.106764382,35,800,,,50,1.1,24S28P,,,,,,6,12,"14,18","4,10",2,Antigravity MN5008 KV170.jpg,https://store.tmotor.com/goods.php?id=1000,para_motor.prt,,Antigravity MN5008.jpg,
Motor,D,Antigravity MN6007 KV160,T-Motor,119.99,0,4,25.1,67,7,30.1,26,6,180,17554.96501,2.065232745,17552.74781,0.151965709,160,0.059683104,0.125267517,18,864,,,227,0.5,18S22P,,,,,,6,12,"18,24","4,12",2,Antigravity MN6007 KV160.jpg,https://store.tmotor.com/goods.php?id=774 ,para_motor.prt,,Antigravity MN6007.jpg,
Motor,D,Antigravity MN6007 KV320,T-Motor,119.99,0,4,25.1,67,7,30.1,26,6,180,17554.96501,2.065232745,17552.74781,0.151965709,320,0.029841552,0.133455477,39,936,,,50,1.4,18S22P,,,,,,6,12,"18,24","4,10",2,Antigravity MN6007 KV320.jpg,https://store.tmotor.com/goods.php?id=775,para_motor.prt,,Antigravity MN6007.jpg,
Motor,D,Antigravity MN6007II KV160,T-Motor,129.99,0,4,21.1,67.2,7,26.1,26,6,159,17765.21592,1.790783211,17763.27317,0.151965709,160,0.059683104,0.141462523,23.7,1120,,,178,0.5,24S28P,,,,,,6,12,"18,24","4,12",2,Antigravity MN6007II KV160.jpg,https://store.tmotor.com/goods.php?id=1113 ,para_motor.prt,,Antigravity MN6007II.jpg,
Motor,D,Antigravity MN6007II KV320,T-Motor,129.99,0,4,21.1,67.2,7,26.1,26,6,161,17765.21592,1.790783211,17763.27317,0.151965709,320,0.029841552,0.13692243,44.2,1040,,,47.5,1,24S28P,,,,,,6,12,"18,24","4,10",2,Antigravity MN6007II KV320.jpg,https://store.tmotor.com/goods.php?id=1114,para_motor.prt,,Antigravity MN6007II.jpg,
Motor,D,Antigravity MN7005 KV115,T-Motor,219.99,0,4,21.8,79,5,37.8,14.5,10,188,33930.39024,2.593548098,33927.68815,0.108546935,115,0.083037362,0.154730988,15,750,,,288,0.4,24S28P,,,,,,6,12,"20,28","4,14",2,Antigravity MN7005 KV115.jpg,https://store.tmotor.com/goods.php?id=461 ,para_motor.prt,,Antigravity MN7005.jpg,
Motor,D,Antigravity MN7005 KV230,T-Motor,219.99,0,4,21.8,79,5,37.8,14.5,10,188,33930.39024,2.593548098,33927.68815,0.108546935,230,0.041518681,0.155816833,28,700,,,71,0.9,24S28P,,,,,,6,12,"20,26","4,12",2,Antigravity MN7005 KV230.jpg,https://store.tmotor.com/goods.php?id=462,para_motor.prt,,Antigravity MN7005.jpg,
Motor,D,Antigravity MN1005 V2 KV90,T-Motor,249.9,0,4,23,107,5,26,14.5,10,282,114179.5196,1.783921972,114177.6271,0.108546935,90,0.106103295,0.258865534,32,1500,,,168,0.9,36S42P,,,,,,12,16,"28,34","6,16",2,Antigravity MN1005 V2 KV90.jpg,https://store.tmotor.com/goods.php?id=906 ,para_motor.prt,,Antigravity MN1005 V2.jpg,
Motor,D,Antigravity MN8012 KV100,T-Motor,269.9,0,4,29,87.8,12,32,14.5,10,351,51765.99573,2.195596274,51763.53962,0.260512644,100,0.095492966,0.327538171,40,1873,,,85,1,36S42P,,,,,,12,16,"26,32","6,16",2,Antigravity MN8012 KV100.jpg,https://store.tmotor.com/goods.php?id=1130 ,para_motor.prt,,Antigravity MN8012.jpg,
Motor,D,Antigravity MN8014 KV100,T-Motor,279.9,0,4,31.5,87.8,14,34.5,14.5,10,392,51766.21068,2.367127233,51763.53962,0.303931418,100,0.095492966,0.374554228,52,2423,,,65,1.4,36S42P,,,,,,12,16,"26,32","6,16",2,Antigravity MN8014 KV100.jpg,https://store.tmotor.com/goods.php?id=1131 ,para_motor.prt,,Antigravity MN8014.jpg,
Motor,D,Antigravity MN8017 KV120,T-Motor,289.9,0,4,34.5,87.8,17,37.5,14.5,10,453,51766.48165,2.572964383,51763.53962,0.369059579,120,0.079577472,0.375131798,68.6,3180,,,45,1.8,36S42P,,,,,,12,16,"26,32","6,16",2,Antigravity MN8017 KV120.jpg,https://store.tmotor.com/goods.php?id=1132 ,para_motor.prt,,Antigravity MN8017.jpg,
Motor,D,Magni350,MagniX,,,50.8,457,610,305,508,,,111500,121511723.5,906736.5095,120604980.4,6.62136303,2.87,3.32728104,4.405985072,700.7007007,280000,437,350000,570.2862857,19.05905906,,,,,,,108,217,,,,,https://www.magnix.aero/services ,para_motor.prt,,Magni350.jpg,"Comes with two ""ESCS"" no gearbox needed"
Motor,D,Magni650,MagniX,,,50.8,610,610,457,762,,,200000,121965095.1,1360104.764,120604980.4,9.921189852,2.87,3.32728104,6.231003845,1401.401401,560000,800,640000,285.1431429,38.11811812,,,,,,,108,217,,,,,https://www.magnix.aero/services ,para_motor.prt,,Magni650.jpg,"Comes with two ""ESCS"" no gearbox needed"
Motor,D,HPDM250,H3X,,,38.1,282.8,224.75,203.2,290,,,15000,2386299.268,163779.8398,2222515.017,4.411347435,25,0.381971863,0.854970022,1001.001001,200000,312.5,250000,199.6002,27.22722723,,,,,,,54,217,,,,,https://www.h3x.tech/#motor ,para_motor.prt,,HPDM250.jpg,
Motor,D,E811,Pipistrel,,,50.8,187,268,92,200,,,30800,4850488.315,356982.8778,4493503.44,1.997263603,5.875,1.625412185,1.656110836,226,49200,311,57600,963.2704205,6.1472,,,,,,,67,108,,,,,https://www.pipistrel-aircraft.com/aircraft/electric-flight/e-811/#tab-id-2 ,para_motor.prt,,E911.jpg,liquid cooled with esc
Motor,D,Emrax188HV,Embrax,,,47,74.4,188,70,80,,,7200,1192749.834,104627.0451,1088121.269,1.519657089,15.11627907,0.631722697,0.370960341,100,29000,200,52000,2900,2.72,,,,,,,58,116,,,,,https://emrax.com/e-motors/emrax-188/#,para_motor.prt,,Emrax188.jpg,combined air and liquid cooling
Motor,D,Emrax188MV,Embrax,,,47,74.4,188,70,80,,,7200,1192749.834,104627.0451,1088121.269,1.519657089,21.66666667,0.440736765,0.38821431,150,29000,300,52000,1288.888889,4.08,,,,,,,41,81,,,,,https://emrax.com/e-motors/emrax-188/#,para_motor.prt,,Emrax188.jpg,combined air and liquid cooling
Motor,D,Emrax188LV,Embrax,,,47,74.4,188,70,80,,,7200,1192749.834,104627.0451,1088121.269,1.519657089,59.09090909,0.161603481,0.379587326,400,29000,800,52000,181.25,10.88,,,,,,,15,30,,,,,https://emrax.com/e-motors/emrax-188/#,para_motor.prt,,Emrax188.jpg,combined air and liquid cooling
Motor,D,Emrax208HV,Embrax,,,47,85,208,80,90,,,9300,1748126.217,117705.4258,1630419.055,1.736750959,10.90909091,0.875352187,0.432305631,100,41000,200,68000,4100,2.72,,,,,,,75,149,,,,,https://emrax.com/e-motors/emrax-208/ ,para_motor.prt,,Emrax208.jpg,combined air and liquid cooling
Motor,D,Emrax208MV,Embrax,,,47,85,208,80,90,,,9300,1748126.217,117705.4258,1630419.055,1.736750959,17.14285714,0.557042301,0.440165734,160,41000,320,68000,1601.5625,4.352,,,,,,,48,95,,,,,https://emrax.com/e-motors/emrax-208/ ,para_motor.prt,,Emrax208.jpg,combined air and liquid cooling
Motor,D,Emrax208LV,Embrax,,,47,85,208,80,90,,,9300,1748126.217,117705.4258,1630419.055,1.736750959,50,0.190985932,0.377284915,400,41000,800,68000,256.25,10.88,,,,,,,16,32,,,,,https://emrax.com/e-motors/emrax-208/ ,para_motor.prt,,Emrax208.jpg,combined air and liquid cooling
Motor,D,Emrax228HV,Embrax,,,47,86,228,80,91,,,12300,2472900.266,119013.2638,2353885.266,1.736750959,8.088235294,1.180640305,0.54528004,115,62000,240,109000,4688.090737,3.128,,,,,,,92,184,,,,,https://emrax.com/e-motors/emrax-228/ ,para_motor.prt,,Emrax228.jpg,combined air and liquid cooling
Motor,D,Emrax228MV,Embrax,,,47,86,228,80,91,,,12300,2472900.266,119013.2638,2353885.266,1.736750959,11,0.868117871,0.557831243,160,62000,340,109000,2421.875,4.352,,,,,,,68,136,,,,,https://emrax.com/e-motors/emrax-228/ ,para_motor.prt,,Emrax228.jpg,combined air and liquid cooling
Motor,D,Emrax228LV,Embrax,,,47,86,228,80,91,,,12300,2472900.266,119013.2638,2353885.266,1.736750959,34.375,0.277797719,0.502048119,450,62000,900,109000,306.1728395,12.24,,,,,,,22,44,,,,,https://emrax.com/e-motors/emrax-228/ ,para_motor.prt,,Emrax228.jpg,combined air and liquid cooling
Motor,D,Emrax268HV,Embrax,,,47,93.1,268,85,136,,,20300,4671371.262,177865.9767,4493503.44,1.845297894,4.5,2.122065908,0.904523086,125,86000,250,160000,5504,3.4,,,,,,,109,217,,,,,https://emrax.com/e-motors/emrax-268/#1482059435741-232ed37a-accc ,para_motor.prt,,Emrax268.jpg,combined air and liquid cooling
Motor,D,Emrax268MV,Embrax,,,47,93.1,268,85,136,,,20300,4671371.262,177865.9767,4493503.44,1.845297894,6.923076923,1.37934284,0.80118708,190,107000,400,200000,2963.98892,5.168,,,,,,,88,176,,,,,https://emrax.com/e-motors/emrax-268/#1482059435741-232ed37a-accc ,para_motor.prt,,Emrax268.jpg,combined air and liquid cooling
Motor,D,Emrax268LV,Embrax,,,47,93.1,268,85,136,,,20300,4671371.262,177865.9767,4493503.44,1.845297894,18,0.530516477,0.810918097,500,107000,1000,200000,428,13.6,,,,,,,34,68,,,,,https://emrax.com/e-motors/emrax-268/#1482059435741-232ed37a-accc ,para_motor.prt,,Emrax268.jpg,combined air and liquid cooling
Motor,D,Emrax348HV,Embrax,,,47,104.6,348,90,110,,,41500,12918922.07,143862.187,12775057.93,1.953844829,2.3,4.151868081,1.993710604,140,85000,280,170000,4336.734694,3.808,,,,,,,109,217,,,,,https://emrax.com/e-motors/emrax-348/#1482059435741-232ed37a-accc ,para_motor.prt,,Emrax348.jpg,combined air and liquid cooling
Motor,D,Emrax348MV,Embrax,,,47,104.6,348,90,110,,,41500,12918922.07,143862.187,12775057.93,1.953844829,3.5,2.728370453,1.595246415,210,129000,450,260000,2925.170068,5.712,,,,,,,109,217,,,,,https://emrax.com/e-motors/emrax-348/#1482059435741-232ed37a-accc ,para_motor.prt,,Emrax348.jpg,combined air and liquid cooling
Motor,D,Emrax348LV,Embrax,,,47,104.6,348,90,110,,,41500,12918922.07,143862.187,12775057.93,1.953844829,9.523809524,1.002676141,1.203410297,550,210000,1100,380000,694.214876,14.96,,,,,,,57,114,,,,,https://emrax.com/e-motors/emrax-348/#1482059435741-232ed37a-accc ,para_motor.prt,,Emrax348.jpg,combined air and liquid cooling
Motor,D,Reb90,MGM Compro,,,47,161,270.2,150,212,,,26200,4920143.024,277261.6696,4642878.098,3.256408048,5,1.909859317,1.263253198,175,70000,200,80000,2285.714286,4.76,,,,,,,108,217,,,,,https://www.mgm-compro.com/electric-motor/80-kw-electric-motor/ ,para_motor.prt,,Reb90.jpg,combined air and liquid cooling 
Motor,D,Rex90,MGM Compro,,,47,161,217,150,212,,,21499,2208721.009,277261.6696,1931456.083,3.256408048,5,1.909859317,1.067643815,125,50000,175,70000,3200,3.4,,,,,,,108,217,,,,,https://www.mgm-compro.com/electric-motor/70-kw-electric-motor/ ,para_motor.prt,,Rex90.jpg,combined air and liquid cooling 
Motor,D,Reb60,MGM Compro,,,47,135,270.8,130,138,,,19500,4864739.62,180481.6528,4684255.145,2.822220308,5,1.909859317,1.012855856,112.5,45000,150,60000,3555.555556,3.06,,,,,,,108,217,,,,,https://www.mgm-compro.com/electric-motor/60-kw-electric-motor/ ,para_motor.prt,,Reb60.jpg,combined air and liquid cooling 
Motor,D,Reb50,MGM Compro,,,47,120,266.8,80,127,,,16200,4579658.882,166095.4341,4413561.711,1.736750959,5,1.909859317,0.954929659,100,40000,125,50000,4000,2.72,,,,,,,108,217,,,,,https://www.mgm-compro.com/electric-motor/50-kw-electric-motor/ ,para_motor.prt,,Reb50.jpg,combined air and liquid cooling 
Motor,D,Reb30,MGM Compro,,,25,80,266.8,60,101,,,12350,4424137.127,10574.11307,4413561.711,1.302563219,5,1.909859317,0.826993343,75,30000,100,40000,5333.333333,2.04,,,,,,,17,217,,,,,https://www.mgm-compro.com/electric-motor/40-kw-electric-motor/ ,para_motor.prt,,Reb30.jpg,combined air and liquid cooling 
Motor,D,Ret60,MGM Compro,,,25,123,169,110,130,,,11700,724159.4865,13610.24454,710546.8539,2.388032568,10,0.954929659,0.377469091,62.5,25000,87.5,35000,6400,1.7,,,,,,,17,217,,,,,https://www.mgm-compro.com/electric-motor/35-kw-electric-motor/ ,para_motor.prt,,Ret60.jpg,combined air and liquid cooling 
Motor,D,Rex50,MGM Compro,,,25,90,216,80,95,,,12200,1906046.239,9945.947933,1896098.554,1.736750959,7.5,1.273239545,0.503292121,62.5,25000,87.5,35000,6400,1.7,,,,,,,17,217,,,,,https://www.mgm-compro.com/electric-motor/35-kw-electric-motor-2/ ,para_motor.prt,,Rex50.jpg,combined air and liquid cooling 
Motor,D,Rex30,MGM Compro,,,20,80,216,60,85,,,6430,1899744.889,3645.032876,1896098.554,1.302563219,7.5,1.273239545,0.415025315,42.5,17000,62.5,25000,9411.764706,1.156,,,,,,,17,217,,,,,https://www.mgm-compro.com/electric-motor/25-kw-electric-motor/ ,para_motor.prt,,Rex30.jpg,combined air and liquid cooling 
Motor,D,Ret30,MGM Compro,,,25,70,169,60,80,,,4390,718923.6916,8375.535102,710546.8539,1.302563219,20,0.477464829,0.130759129,30,12000,37.5,15000,13333.33333,0.816,,,,,,,17,108,,,,,https://www.mgm-compro.com/electric-motor/15-kw-electric-motor/ ,para_motor.prt,,Ret30.jpg,air cooled only
Motor,D,Reg60,MGM Compro,,,14,84,114,80,102,,,4140,148169.7727,1050.206872,147117.8291,1.736750959,30,0.318309886,0.087172752,30,12000,37.5,15000,13333.33333,0.816,,,,,,,17,108,,,,,https://www.mgm-compro.com/electric-motor/15-kw-electric-motor-2/ ,para_motor.prt,,Reg60.jpg,air cooled only
Motor,D,Ret20,MGM Compro,,,14,45,169,40,58,,,3490,711144.8987,597.1764568,710546.8539,0.868375479,20,0.477464829,0.377469091,250,100000,32.5,13000,1600,6.8,,,,,,,17,108,,,,,https://www.mgm-compro.com/electric-motor/13-kw-electric-motor/ ,para_motor.prt,,Ret20.jpg,air cooled only
Motor,D,P400R,YASA,,,47,100,305,90,107,,,28200,7677751.902,139938.6729,7537811.275,1.953844829,11.42857143,0.835563451,0.511676026,150,60000,400,160000,2666.666667,4.08,,,,,,,68,190,,,,,https://www.yasa.com/products/yasa-p400/ ,para_motor.prt,,P400.jpg,combined air and liquid cooling 
Motor,D,750R,YASA,,,47,90,368,80,98,,,37000,16103034.14,128168.1303,15974864.28,1.736750959,4.0625,2.350596083,1.554773167,175,70000,500,200000,2285.714286,4.76,,,,,,,108,217,,,,,https://www.yasa.com/products/yasa-750/ ,para_motor.prt,,750R.jpg,combined air and liquid cooling 
Motor,D,MAGiDRIVE6,MAGicALL,,,14,64,114.3,60,89,,,1500,149590.221,916.3569768,148672.5615,1.302563219,20,0.477464829,0.084404655,12.5,5000,15,6000,32000,0.34,,,,,,,7,108,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only
Motor,D,MAGiDRIVE12,MAGicALL,,,14,76,152,70,107,,,3000,466068.198,1101.687601,464964.9907,1.519657089,17.5,0.545674091,0.136418523,25,10000,30,12000,16000,0.68,,,,,,,7,108,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only
Motor,D,MAGiDRIVE20,MAGicALL,,,25,89,190,80,127,,,6000,1148466.333,13296.16197,1135168.434,1.736750959,15.5,0.616083651,0.194822757,40,16000,50,20000,10000,1.088,,,,,,,7,108,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only
Motor,D,MAGiDRIVE40,MAGicALL,,,25,102,229,95,148,,,10000,2410950.782,15494.73994,2395453.979,2.062391763,6.875,1.388988594,0.621174583,80,32000,100,40000,5000,2.176,,,,,,,108,217,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only
Motor,D,MAGiDRIVE75,MAGicALL,,,25,115,292,100,165,,,19500,6349807.474,17274.54115,6332530.762,2.170938698,6.25,1.527887454,0.935636161,150,60000,187.5,75000,2666.666667,4.08,,,,,,,108,217,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only
Motor,D,MAGiDRIVE150,MAGicALL,,,47,140,381,130,203,,,35000,18620131.17,265491.127,18354637.22,2.822220308,5.25,1.818913635,1.575225415,300,120000,375,150000,1333.333333,8.16,,,,,,,108,217,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only
Motor,D,MAGiDRIVE300,MAGicALL,,,47,152,482,140,203,,,60000,47280235.97,265491.127,47014741.8,3.039314178,4.5,2.122065908,2.598989337,600,240000,750,300000,666.6666667,16.32,,,,,,,108,217,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only
Motor,D,MAGiDRIVE500,MAGicALL,,,47,180,610,170,254,,,100000,120937175,332190.8683,120604980.4,3.690595787,4,2.387324146,3.774690908,1000,400000,1250,500000,400,27.2,,,,,,,108,217,,,,,https://www.magicall.biz/products/brushless-motor/ ,para_motor.prt,,MagiDrive.jpg,air cooled only