weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,omega_rpm,voltage,thrust,power,current,omega_rpm_at20,thrust_at20,power_at20,current_at20,j_at20,max_omega_rpm,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,thrust_per_weight_at20,power_per_weight_at20,thrust_per_power_at20,motor_name,propeller_name
0.1379823,0.3302,18000.0,1000.0,1.0,6287.39,22.8,14.67,353.67,15.51,6219.3,10.61,397.25,17.42,0.58433604,6757.03,25.02,17.1,526.32,21.03,106.317986,2563.1548,0.041479345,76.89392,2878.9924,0.026708622,t_motor_AntigravityMN5006KV300,apc_propellers_13x10E
0.14201926,0.3556,16000.0,1000.0,0.93,5986.52,22.2,16.88,419.68,18.9,5973.75,11.4,427.64,19.26,0.5649011,6130.42,22.93,17.6,482.84,21.05,118.857124,2955.0923,0.04022112,80.270805,3011.141,0.026657937,t_motor_AntigravityMN5006KV300,apc_propellers_14x10E
0.14201926,0.3556,16000.0,1000.0,0.93,6104.65,22.8,17.6,470.62,20.64,6109.18,12.33,467.72,20.51,0.55237824,6130.42,22.93,17.8,482.84,21.05,123.926865,3313.7761,0.037397474,86.819214,3293.3564,0.026361926,t_motor_AntigravityMN5006KV300,apc_propellers_14x10E
0.13888948,0.244475,18000.0,1000.0,0.64,15244.37,51.8,15.95,429.85,8.3,15214.39,11.53,473.44,9.14,0.32262072,16401.03,55.79,18.46,526.32,9.43,114.839516,3094.9067,0.037105966,83.01565,3408.7534,0.024353666,t_motor_AntigravityMN5006KV300,apc_propellers_9_625x3_75N
0.12600332,0.254,24000.0,1000.0,0.92,9767.28,22.8,14.26,437.97,19.21,9791.42,10.47,416.52,18.27,0.48250502,10656.09,25.23,16.95,684.21,27.12,113.17162,3475.8608,0.03255931,83.09305,3305.6272,0.025136849,t_motor_AntigravityMN5006KV450,apc_propellers_10x7E
0.12813519,0.3048,20000.0,2000.0,0.63,9288.54,22.2,23.59,607.12,27.35,9538.0,10.17,391.21,17.62,0.4127708,9291.63,22.21,23.7,607.8,27.37,184.10243,4738.1206,0.03885558,79.36929,3053.1035,0.025996268,t_motor_AntigravityMN5006KV450,apc_propellers_12x4_5MR
0.14709525,0.3048,20000.0,1000.0,0.63,9585.1,22.8,21.88,599.91,26.31,9795.34,10.7,413.03,18.12,0.4019266,9723.92,23.17,22.62,634.09,27.37,148.74715,4078.3777,0.036472138,72.74198,2807.9084,0.025906108,t_motor_AntigravityMN5006KV450,apc_propellers_12x5
0.1558949,0.3302,17000.0,1000.0,0.52,9560.01,22.8,25.87,622.21,27.29,9813.31,10.11,397.05,17.41,0.3703298,9572.35,22.83,26.03,624.87,27.37,165.94513,3991.2146,0.041577604,64.85139,2546.9082,0.025462788,t_motor_AntigravityMN5006KV450,apc_propellers_13x4
0.12101383,0.2286,23000.0,1000.0,0.52,19589.11,44.4,21.5,676.63,15.24,19651.14,12.74,569.25,12.82,0.26712668,19646.33,44.53,21.65,684.21,15.36,177.66565,5591.344,0.03177512,105.27722,4704.008,0.022380324,t_motor_AntigravityMN5006KV450,apc_propellers_9x3N
0.14587145,0.3048,16000.0,2000.0,0.71,8284.52,51.8,23.94,619.48,11.96,8471.0,10.25,397.96,7.68,0.46476305,8868.58,55.66,27.58,757.89,13.62,164.11711,4246.753,0.038645316,70.26735,2728.1555,0.025756357,t_motor_AntigravityMN5008KV170,apc_propellers_12x4_7SF
0.15898019,0.3302,17000.0,1000.0,0.83,7055.43,44.4,18.41,501.55,11.3,7146.98,11.03,408.33,9.2,0.5084891,7671.6,49.09,21.99,757.89,15.44,115.80058,3154.7954,0.03670621,69.37971,2568.433,0.027012466,t_motor_AntigravityMN5008KV170,apc_propellers_13x8E
0.1778949,0.3556,16000.0,1000.0,0.58,8294.82,51.8,24.38,607.25,11.72,8470.3,10.55,398.79,7.7,0.39840126,8799.46,55.28,27.66,757.89,13.71,137.04721,3413.5325,0.04014821,59.30468,2241.7168,0.026455026,t_motor_AntigravityMN5008KV170,apc_propellers_14x5N
0.16201925,0.3556,17000.0,1000.0,0.7,6995.08,44.4,22.26,563.0,12.68,7167.9,10.55,387.03,8.72,0.47079036,7513.32,48.23,25.48,757.89,15.72,137.39108,3474.8958,0.03953819,65.11572,2388.7903,0.02725887,t_motor_AntigravityMN5008KV170,apc_propellers_14x7E
0.1609907,0.3048,19000.0,1000.0,0.88,7449.04,22.8,15.42,388.83,17.05,7465.39,10.0,367.84,16.13,0.527368,8563.16,26.75,20.42,800.0,29.91,95.78193,2415.2327,0.039657433,62.115387,2284.8523,0.027185732,t_motor_AntigravityMN5008KV340,apc_propellers_12x8E
0.1828991,0.3302,15000.0,1000.0,0.76,7350.09,22.8,18.76,515.82,22.62,7458.66,10.27,376.48,16.51,0.4872405,8069.69,25.38,22.52,800.0,31.52,102.57021,2820.2434,0.036369275,56.151176,2058.4026,0.027279006,t_motor_AntigravityMN5008KV340,apc_propellers_13x7
0.15994745,0.3556,13999.0,2000.0,0.64,7015.04,22.2,28.69,666.01,30.0,7228.96,10.12,398.69,17.96,0.46681377,7448.51,23.67,32.63,800.0,33.79,179.37141,4163.93,0.04307743,63.27078,2492.631,0.02538313,t_motor_AntigravityMN5008KV340,apc_propellers_14x4_7SF
0.15994745,0.3556,13999.0,2000.0,0.64,7192.04,22.8,30.26,718.66,31.52,7406.85,11.24,442.98,19.43,0.45560235,7448.51,23.67,32.63,800.0,33.79,189.18713,4493.1006,0.04210614,70.27308,2769.5347,0.025373606,t_motor_AntigravityMN5008KV340,apc_propellers_14x4_7SF
0.16901925,0.3556,17000.0,1000.0,0.7,7079.18,22.2,22.83,585.86,26.39,7227.8,10.93,400.14,18.02,0.4668887,7634.21,24.18,26.77,800.0,33.08,135.07336,3466.2324,0.038968354,64.66719,2367.4226,0.02731544,t_motor_AntigravityMN5008KV340,apc_propellers_14x7E
0.17101504,0.381,15000.0,2000.0,0.62,6951.02,22.2,30.72,746.01,33.6,7193.43,11.96,443.09,19.96,0.43784484,7094.1,22.71,31.67,800.0,35.23,179.63332,4362.2476,0.041179072,69.93536,2590.9417,0.02699226,t_motor_AntigravityMN5008KV340,apc_propellers_15x5_5MR
0.17999613,0.381,16000.0,1000.0,0.59,7234.43,22.8,28.17,664.25,29.13,7431.64,11.12,411.16,18.03,0.4238104,7630.93,24.17,31.54,800.0,33.09,156.50337,3690.3572,0.04240873,61.779106,2284.2712,0.027045432,t_motor_AntigravityMN5008KV340,apc_propellers_15x6E
0.18698141,0.4064,13999.0,1000.0,0.97,4549.94,14.8,16.72,401.61,27.14,4597.09,10.15,362.32,24.48,0.6423098,4949.92,16.48,19.63,607.29,36.84,89.420654,2147.8606,0.04163243,54.28347,1937.7327,0.028013911,t_motor_AntigravityMN5008KV340,apc_propellers_16x12E
0.19101836,0.4064,15000.0,1000.0,0.56,6943.61,22.2,32.28,755.28,34.02,7183.67,12.29,455.28,20.51,0.41103724,7061.42,22.62,32.94,800.0,35.37,168.98898,3953.9653,0.042739116,64.33936,2383.4358,0.026994377,t_motor_AntigravityMN5008KV340,apc_propellers_16x6E
0.14987144,0.3048,16000.0,2000.0,0.71,8335.86,22.2,24.24,635.78,28.64,8526.02,10.54,413.59,18.63,0.46176386,9169.88,24.55,29.29,842.11,34.3,161.73862,4242.169,0.038126394,70.32694,2759.6318,0.025484174,t_motor_AntigravityMN5008KV400,apc_propellers_12x4_7SF
0.14987144,0.3048,16000.0,2000.0,0.71,8549.2,22.8,25.55,684.96,30.04,8737.42,11.66,459.1,20.14,0.45059156,9169.88,24.55,29.29,842.11,34.3,170.47943,4570.317,0.037301447,77.80001,3063.292,0.025397517,t_motor_AntigravityMN5008KV400,apc_propellers_12x4_7SF
0.1559949,0.3302,18000.0,3000.0,0.67,8447.85,22.8,26.95,806.58,35.38,8684.82,13.66,522.21,22.9,0.4184498,8546.2,23.1,27.62,842.11,36.46,172.76204,5170.553,0.03341268,87.566956,3347.6091,0.026158059,t_motor_AntigravityMN5008KV400,apc_propellers_13x5_5MR
0.16701715,0.3556,16000.0,1000.0,1.09,5488.23,14.8,14.24,336.33,22.72,5383.89,11.19,417.6,28.22,0.62679183,6252.63,17.38,18.49,640.37,36.84,85.260704,2013.7454,0.04233937,66.99911,2500.342,0.026795978,t_motor_AntigravityMN5008KV400,apc_propellers_14x12E
0.17699613,0.381,15000.0,1000.0,0.88,5369.12,14.8,17.91,429.1,28.99,5436.74,10.4,376.44,25.43,0.57931894,5682.57,15.96,19.91,587.87,36.84,101.18865,2424.347,0.04173852,58.758347,2126.8262,0.027627245,t_motor_AntigravityMN5008KV400,apc_propellers_15x10E
0.18702047,0.4064,15000.0,1000.0,0.43,8448.92,22.8,36.79,805.29,35.32,8744.03,10.82,451.16,19.79,0.3376882,8569.05,23.15,37.93,842.11,36.38,196.71643,4305.8926,0.045685407,57.85463,2412.3562,0.023982622,t_motor_AntigravityMN5008KV400,apc_propellers_16x4E
0.14701383,0.2286,23000.0,1000.0,0.52,20417.43,51.8,24.02,824.9,15.92,20473.01,14.58,673.39,13.0,0.25640312,20501.94,52.02,24.31,842.11,16.19,163.38599,5611.0366,0.029118681,99.17435,4580.4536,0.021651642,t_motor_AntigravityMN5008KV400,apc_propellers_9x3N
0.18394744,0.3556,13999.0,2000.0,0.64,7812.59,51.8,36.18,910.19,17.57,7968.25,15.52,612.18,11.82,0.42350304,8499.98,56.64,42.54,1178.95,20.81,196.68661,4948.098,0.039749943,84.371925,3328.0156,0.02535202,t_motor_AntigravityMN6007IIKV160,apc_propellers_14x4_7SF
0.19501504,0.381,15000.0,2000.0,0.62,7735.46,51.8,38.47,1057.87,20.42,7940.04,17.82,666.19,12.86,0.39667386,7980.94,53.6,41.09,1178.95,22.0,197.26683,5424.5557,0.036365528,91.37756,3416.0955,0.026749125,t_motor_AntigravityMN6007IIKV160,apc_propellers_15x5_5MR
0.1919802,0.3302,17000.0,1000.0,0.83,6994.95,22.8,18.08,475.35,20.85,7051.34,10.53,386.31,16.94,0.51538587,8323.34,27.79,25.38,1094.74,39.4,94.17638,2476.0366,0.038035132,54.849407,2012.2388,0.027257903,t_motor_AntigravityMN6007IIKV320,apc_propellers_13x8E
0.19701505,0.381,15000.0,2000.0,0.62,6851.72,22.8,29.82,701.49,30.77,7041.01,10.88,402.61,17.66,0.44732308,7802.15,26.26,38.64,1094.74,41.68,151.359,3560.591,0.042509515,55.22421,2043.5496,0.027023671,t_motor_AntigravityMN6007IIKV320,apc_propellers_15x5_5MR
0.09200963,0.2032,29000.0,1000.0,0.72,18021.0,22.8,14.01,460.59,20.2,17862.13,10.54,494.51,21.69,0.33061633,19007.81,24.26,15.58,560.0,23.08,152.26668,5005.889,0.030417508,114.55323,5374.5464,0.021314029,kde_direct_KDE2315XF_885,apc_propellers_8x3_75
0.13497898,0.2794,14000.0,1000.0,0.7,9933.06,22.2,19.65,523.54,23.58,10150.44,10.13,447.67,20.17,0.42312625,10136.37,22.73,20.31,560.0,24.64,145.57822,3878.678,0.037532948,75.04872,3316.5906,0.022628276,kde_direct_KDE2814XF_515,apc_propellers_11x4_6SF
0.15588948,0.244475,18000.0,1000.0,0.64,16064.17,22.2,17.73,498.54,22.46,15921.12,13.28,561.05,25.27,0.30829975,17476.97,24.43,21.02,701.05,28.69,113.73442,3198.035,0.035563845,85.18856,3599.0242,0.023669904,kde_direct_KDE2814XF_775,apc_propellers_9_625x3_75N
0.11188948,0.244475,18000.0,1000.0,0.64,16252.13,14.8,18.16,560.31,37.86,15999.05,13.48,623.39,42.12,0.30679804,16913.65,15.46,19.71,627.37,40.58,162.30302,5007.7095,0.03241063,120.47603,5571.48,0.021623703,t_motor_AS2317KV1250,apc_propellers_9_625x3_75N
0.09800962,0.23495,24000.0,1000.0,0.88,13562.63,11.1,14.44,468.83,42.24,13089.65,12.16,580.97,52.34,0.39019147,14272.88,11.88,15.99,600.48,50.53,147.33247,4783.51,0.030800076,124.06945,5927.683,0.020930512,t_motor_AS2317KV1400,apc_propellers_9_25x6_0
0.09601383,0.2286,23000.0,1000.0,0.52,18791.42,14.8,19.45,609.69,41.19,19050.12,11.53,527.9,35.67,0.27555436,19795.47,15.73,21.58,749.47,47.64,202.57498,6350.023,0.031901456,120.08687,5498.1665,0.021841258,t_motor_AS2317KV1400,apc_propellers_9x3N
0.08598949,0.2286,18000.0,1000.0,0.77,13231.71,11.1,16.92,547.29,49.31,13428.79,10.3,500.56,45.1,0.39090222,13381.49,11.25,17.36,568.31,50.53,196.76823,6364.615,0.030915968,119.78208,5821.177,0.020576954,t_motor_AS2317KV1400,apc_propellers_9x4_1SF
0.08753169,0.2286,24000.0,1000.0,0.47,18518.29,14.8,17.64,696.03,47.03,18848.27,11.24,591.71,39.98,0.27850533,19005.93,15.22,18.55,749.47,49.24,201.527,7951.748,0.025343735,128.41063,6759.951,0.018995792,t_motor_AS2317KV1400,apc_propellers_9x4_4SFR
0.12197898,0.2794,14000.0,1000.0,0.7,9962.15,11.1,19.77,544.44,49.05,10195.38,10.29,469.43,42.29,0.42126116,10198.27,11.41,20.73,588.41,51.58,162.0771,4463.392,0.036312543,84.358795,3848.45,0.0219202,t_motor_AS2814KV1050,apc_propellers_11x4_6SF
0.13808143,0.254,24000.0,1000.0,0.5,16011.65,14.8,27.78,900.71,60.86,16456.99,15.08,671.28,45.36,0.28707615,16177.8,14.97,28.44,931.58,62.22,201.18564,6523.035,0.030842336,109.21092,4861.4795,0.022464545,t_motor_AS2814KV1200,apc_propellers_10x3
0.12392942,0.254,20000.0,2000.0,0.73,11484.27,11.1,21.92,709.29,63.9,11928.49,12.1,537.66,48.44,0.39606097,11511.21,11.13,22.03,714.66,64.21,176.87488,5723.3384,0.030904144,97.63622,4338.4375,0.02250493,t_motor_AS2814KV1200,apc_propellers_10x3_8SF
0.11998318,0.254,16000.0,1000.0,0.75,11798.58,11.1,19.83,587.85,52.96,11928.07,11.86,537.82,48.45,0.39607492,12993.3,12.36,24.02,793.96,64.21,165.27316,4899.4365,0.033733096,98.84718,4482.4614,0.022051988,t_motor_AS2814KV1200,apc_propellers_10x4_6SF
0.15198319,0.254,16000.0,1000.0,0.75,14012.96,14.8,28.67,976.59,65.99,14068.1,19.44,941.33,63.6,0.33582428,14212.47,15.02,29.57,1013.68,67.48,188.6393,6425.645,0.029357253,127.90889,6193.6455,0.020651631,t_motor_AS2820KV1050,apc_propellers_10x4_6SF
0.18314482,0.2794,22000.0,1000.0,0.5,14005.58,14.8,31.67,981.31,66.3,14413.8,16.44,720.24,48.66,0.29797262,14144.98,14.96,32.38,1013.68,67.74,172.92326,5358.1094,0.032273185,89.76503,3932.6257,0.022825725,t_motor_AS2820KV1050,apc_propellers_11x3
0.18396127,0.3048,20000.0,1000.0,0.55,10390.98,11.1,22.87,606.28,54.62,10760.27,10.39,429.15,38.66,0.36588374,11612.72,12.61,28.43,889.63,70.53,124.31964,3295.6936,0.037721846,56.47928,2332.828,0.024210649,t_motor_AS2820KV1050,apc_propellers_12x4
0.17008142,0.254,24000.0,1000.0,0.5,17030.82,14.8,31.96,1089.92,73.64,17367.52,18.39,840.13,56.77,0.27202556,17303.02,15.06,33.17,1149.47,76.32,187.91,6408.2246,0.029323254,108.12468,4939.575,0.021889469,t_motor_AS2820KV1250,apc_propellers_10x3
0.14898948,0.2286,18000.0,1000.0,0.77,17005.6,14.8,29.27,1108.63,74.91,17054.53,20.84,1072.33,72.45,0.3077976,17196.92,14.98,30.02,1149.47,76.72,196.45682,7440.9946,0.026401956,139.87564,7197.3535,0.019434316,t_motor_AS2820KV1250,apc_propellers_9x4_1SF
0.14398319,0.254,16000.0,1000.0,0.75,11890.63,14.8,20.16,590.13,39.87,11989.98,12.04,538.4,36.38,0.3940298,12325.55,15.39,21.53,658.95,42.82,140.01636,4098.6035,0.034161963,83.62087,3739.3254,0.022362556,t_motor_AS2820KV880,apc_propellers_10x4_6SF
0.10988948,0.244475,18000.0,1000.0,0.64,16201.01,14.8,18.04,551.01,37.23,15945.69,13.34,612.21,41.37,0.3078247,16483.86,15.08,18.7,578.95,38.38,164.16495,5014.2197,0.032739878,121.3947,5571.143,0.021789908,t_motor_AT2317KV1250,apc_propellers_9_625x3_75N
0.085125566,0.1778,26999.0,3000.0,0.89,18630.51,14.8,14.29,664.33,44.89,18907.23,11.45,576.35,38.94,0.35696167,18929.71,15.1,14.66,715.08,47.37,167.86966,7804.118,0.021510394,134.50719,6770.5864,0.019866401,t_motor_AT2317KV1400,apc_propellers_7x4SF
0.09700962,0.23495,24000.0,1000.0,0.88,13570.51,11.1,14.45,469.63,42.31,13098.93,12.18,582.08,52.44,0.38991502,14114.12,11.66,15.63,552.15,47.37,148.95428,4841.066,0.030768903,125.55455,6000.2295,0.02092496,t_motor_AT2317KV1400,apc_propellers_9_25x6_0
0.09501383,0.2286,23000.0,1000.0,0.52,18799.33,14.8,19.47,610.65,41.26,19057.03,11.54,528.72,35.72,0.27545446,19712.9,15.65,21.37,736.84,47.09,204.91754,6426.959,0.03188406,121.456,5564.6636,0.021826297,t_motor_AT2317KV1400,apc_propellers_9x3N
0.0865317,0.2286,24000.0,1000.0,0.47,18527.82,14.8,17.66,696.98,47.09,18855.67,11.26,592.74,40.05,0.27839604,18589.0,14.85,17.8,703.56,47.37,204.08707,8054.6206,0.025337886,130.12573,6849.9756,0.018996524,t_motor_AT2317KV1400,apc_propellers_9x4_4SFR
0.12201383,0.254,23000.0,2000.0,0.83,9976.09,11.1,15.74,533.79,48.09,10329.26,10.1,421.5,37.97,0.45738122,10268.42,11.53,16.62,606.81,52.63,129.00177,4374.832,0.029487252,82.777504,3454.5264,0.02396204,t_motor_AT2814KV1050,apc_propellers_10x5_5MR
0.11697898,0.2794,14000.0,1000.0,0.7,9943.68,11.1,19.7,544.09,49.02,10179.21,10.23,469.21,42.27,0.42193034,10279.66,11.54,21.04,607.38,52.63,168.40633,4651.1777,0.036207244,87.45161,4011.0625,0.021802604,t_motor_AT2814KV1050,apc_propellers_11x4_6SF
0.11198949,0.2286,23000.0,5000.0,0.69,14108.95,14.8,18.19,606.65,40.99,14358.6,11.29,500.82,33.84,0.36558884,14831.02,15.69,20.28,736.84,46.97,162.42595,5417.0264,0.02998434,100.813034,4472.027,0.02254303,t_motor_AT2814KV1050,apc_propellers_9x3_7SF
0.11598318,0.254,16000.0,1000.0,0.75,11770.8,11.1,19.73,580.17,52.27,11903.75,11.78,530.38,47.78,0.39688414,12377.48,11.74,21.7,679.95,57.89,170.11087,5002.1904,0.034007274,101.566444,4572.9043,0.02221049,t_motor_AT2814KV1200,apc_propellers_10x4_6SF
0.11797898,0.2794,14000.0,1000.0,0.7,10209.71,14.8,20.83,656.57,44.36,10543.16,11.55,586.18,39.61,0.40736532,10333.0,15.03,21.37,684.21,45.53,176.55687,5565.144,0.03172548,97.898796,4968.512,0.019703845,t_motor_AT2814KV900,apc_propellers_11x4_6SF
0.15109105,0.31115,20000.0,1000.0,0.49,10113.72,14.8,24.32,676.84,45.73,11079.99,10.38,472.86,31.95,0.34807438,10147.3,14.86,24.49,684.21,46.04,160.96254,4479.683,0.035931684,68.700294,3129.636,0.021951528,t_motor_AT2814KV900,apc_propellers_12_25x3_75
0.12500963,0.2032,29000.0,1000.0,0.72,18409.22,22.2,14.64,497.38,22.4,18290.41,11.27,535.0,24.1,0.32287475,19698.86,24.1,16.78,684.21,28.39,117.110985,3978.7336,0.029434236,90.15306,4279.6704,0.021065421,t_motor_AT2814KV900,apc_propellers_8x3_75
0.14897898,0.2794,14000.0,1000.0,0.7,10195.99,11.1,20.77,579.84,52.24,10393.07,11.01,501.52,45.18,0.4132482,11671.75,12.94,27.47,885.09,68.42,139.41563,3892.0928,0.035820227,73.903046,3366.3809,0.021953262,t_motor_AT2820KV1050,apc_propellers_11x4_6SF
0.12988947,0.244475,18000.0,1000.0,0.64,14893.53,22.8,15.21,397.44,17.43,14807.8,10.57,429.39,18.83,0.33147916,15998.69,24.6,17.56,490.53,19.94,117.099556,3059.832,0.038269926,81.37688,3305.8105,0.024616316,t_motor_MN3110KV700,apc_propellers_9_625x3_75N
0.13088948,0.244475,18000.0,1000.0,0.64,16126.42,22.2,17.87,501.96,22.61,15974.79,13.42,565.94,25.49,0.30726397,16175.36,22.27,17.99,506.32,22.73,136.5274,3834.9912,0.035600446,102.52925,4323.801,0.023712762,t_motor_MN3110KV780,apc_propellers_9_625x3_75N
0.13488948,0.244475,18000.0,1000.0,0.64,14713.49,22.2,14.84,383.22,17.26,14651.79,10.22,411.83,18.55,0.3350087,16543.21,25.1,18.76,536.84,21.39,110.01599,2840.9924,0.038724493,75.76573,3053.092,0.024816064,t_motor_MN3508KV700,apc_propellers_9_625x3_75N
0.13488948,0.244475,18000.0,1000.0,0.64,15094.38,22.8,15.63,412.2,18.08,15016.12,11.06,449.46,19.71,0.32688054,16543.21,25.1,18.79,536.84,21.39,115.87264,3055.835,0.037918486,81.99305,3332.0613,0.024607306,t_motor_MN3508KV700,apc_propellers_9_625x3_75N
0.12398949,0.2286,18000.0,1000.0,0.77,13476.27,22.8,17.6,520.28,22.82,13565.33,10.62,468.08,20.53,0.38696766,13482.38,22.81,17.62,521.05,22.84,141.94751,4196.162,0.03382794,85.65242,3775.1587,0.02268843,t_motor_MN3510KV630,apc_propellers_9x4_1SF
0.14294745,0.23622,25000.0,1000.0,0.55,15117.91,22.8,20.1,577.43,25.33,15357.19,10.04,413.36,18.13,0.33079034,15169.93,22.88,20.25,584.21,25.53,140.61111,4039.4565,0.034809414,70.2356,2891.6921,0.024288755,t_motor_MN3510KV700,apc_propellers_9_3x3
0.14888948,0.244475,18000.0,1000.0,0.64,14949.45,22.2,15.33,394.29,17.76,14897.3,10.78,429.11,19.33,0.3294877,17068.45,25.47,19.95,584.21,22.93,102.96228,2648.2058,0.038880013,72.402695,2882.0706,0.025121763,t_motor_MN3510KV700,apc_propellers_9_625x3_75N
0.17101926,0.3556,16000.0,1000.0,0.93,5813.92,14.8,15.9,406.99,27.5,5796.83,10.24,412.71,27.89,0.582142,6066.69,15.71,17.24,496.17,31.58,92.97199,2379.7905,0.0390673,59.8763,2413.237,0.02481161,t_motor_MN4010KV475,apc_propellers_14x10E
0.16497898,0.2794,14000.0,1000.0,0.7,10044.27,22.2,20.12,522.49,23.54,10141.79,10.09,439.19,19.78,0.42348716,11430.03,25.47,26.08,777.37,30.53,121.95493,3167.0095,0.038507912,61.159306,2662.0967,0.022974111,t_motor_MN4012KV480,apc_propellers_11x4_6SF
0.1849823,0.3302,16000.0,1000.0,0.49,9905.6,22.2,26.54,640.92,28.87,10179.93,10.0,406.62,18.32,0.35699275,10166.52,22.83,27.64,697.02,30.53,143.47319,3464.764,0.041409224,54.059227,2198.1562,0.024592986,t_motor_MN4012KV480,apc_propellers_13x4E
